uf,uf_code,uf_name,population,reference_date,source
RO,11,Rondônia,1746227,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
AC,12,Acre,880631,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
AM,13,Amazonas,4281209,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
RR,14,Roraima,716793,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
PA,15,Pará,8664306,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
AP,16,Amapá,802837,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
TO,17,Tocantins,1577342,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
MA,21,Maranhão,7010960,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
PI,22,Piauí,3375646,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
CE,23,Ceará,9233656,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
RN,24,Rio Grande do Norte,3446071,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
PB,25,Paraíba,4145040,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
PE,26,Pernambuco,9539029,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
AL,27,Alagoas,3220104,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
SE,28,Sergipe,2291077,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
BA,29,Bahia,14850513,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
MG,31,Minas Gerais,21322691,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
ES,32,Espírito Santo,4102129,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
RJ,33,Rio de Janeiro,17219679,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
SP,35,São Paulo,45973194,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
PR,41,Paraná,11824665,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
SC,42,Santa Catarina,8058441,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
RS,43,Rio Grande do Sul,11229915,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
MS,50,Mato Grosso do Sul,2901895,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
MT,51,Mato Grosso,3836399,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
GO,52,Goiás,7350483,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
DF,53,Distrito Federal,2982818,2024-07-01,IBGE SIDRA table 6579 (Estimativas de População)
